subjectID,day,trial_index,phase,stage,conditOrder,assignedCond,trialType,rt,stimulus,time_elapsed,button_pressed,correctFurnitureSound,correctCarSound,correctKitchenSound,correctDogSound,correctInsectSound,correctClothesSound,furnitureFreq,carFreq,kitchenFreq,dogFreq,insectFreq,clothesFreq,response_type,image1,image2,image3,image4,image5,image6,sound1,sound2,sound3,internal_node_id,avg_frame_time,view_history,test_sound,answer,answerFreq,key_press,correctinstrumentSound,correctplantSound,correcttoolsSound,correctbirdSound,correctfruitSound,correctapplianceSound,instrumentFreq,plantFreq,toolsFreq,birdFreq,fruitFreq,applianceFreq,correctshipSound,correctvegetableSound,correcttimeSound,correctfishSound,correctlightSound,correctsportsSound,shipFreq,vegetableFreq,timeFreq,fishFreq,lightFreq,sportsFreq,csl_zipf_datacol,trial_type,shipInd,vegetableInd,timeInd,fishInd,lightInd,sportsInd,instrumentInd,plantInd,toolsInd,birdInd,fruitInd,applianceInd,furnitureInd,carInd,kitchenInd,dogInd,insectInd,clothesInd
47785,02/29/2020,281,2,test2,NULL,Unf,test-repeat,598.98999999859,NULL,4399551,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,key,img/appliance/microwave3.jpg,img/tools/screwdriver5.jpg,img/plant/bonsai3.jpg,img/bird/pigeon5.jpg,img/fruits/ber6.jpg,img/instrument/mandolin1.jpg,NULL,NULL,NULL,0.0-281.0,16.667,NULL,./audio/jick.mp3,bird,5,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,psychophysics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,282,2,train2,NULL,Unf,NULL,,"<div style="font-size:60px;">+</div>",4399807,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0-282.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,html-button-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,283,2,test2,NULL,Unf,test-repeat,1199.5650000026,NULL,4402009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,key,img/appliance/microwave5.jpg,img/tools/screwdriver3.jpg,img/bird/pigeon1.jpg,img/instrument/mandolin2.jpg,img/plant/bonsai6.jpg,img/fruits/ber3.jpg,NULL,NULL,NULL,0.0-283.0,16.670848484848,NULL,./audio/jick.mp3,bird,5,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,psychophysics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,284,2,train2,NULL,Unf,NULL,,"<div style="font-size:60px;">+</div>",4402263,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0-284.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,html-button-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,285,2,test2,NULL,Unf,test-repeat,754.35999999172,NULL,4404019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,key,img/instrument/mandolin3.jpg,img/tools/screwdriver2.jpg,img/appliance/microwave2.jpg,img/bird/pigeon2.jpg,img/plant/bonsai5.jpg,img/fruits/ber4.jpg,NULL,NULL,NULL,0.0-285.0,16.667,NULL,./audio/jick.mp3,bird,5,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,psychophysics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,286,2,train2,NULL,Unf,NULL,,"<div style="font-size:60px;">+</div>",4404271,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0-286.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,html-button-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,287,2,test2,NULL,Unf,test-repeat,1070.5450000096,NULL,4406344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,key,img/plant/bonsai6.jpg,img/bird/pigeon1.jpg,img/appliance/microwave5.jpg,img/fruits/ber3.jpg,img/instrument/mandolin2.jpg,img/tools/screwdriver3.jpg,NULL,NULL,NULL,0.0-287.0,16.801411290323,NULL,./audio/ratch.mp3,plant,5,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,psychophysics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,288,2,train2,NULL,Unf,NULL,,"<div style="font-size:60px;">+</div>",4406599,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0-288.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,html-button-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,289,2,test2,NULL,Unf,test-repeat,1286.2949999981,NULL,4408887,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,key,img/plant/bonsai4.jpg,img/appliance/microwave6.jpg,img/instrument/guitar3.jpg,img/fruits/ber5.jpg,img/tools/screwdriver4.jpg,img/bird/pigeon6.jpg,NULL,NULL,NULL,0.0-289.0,16.667,NULL,./audio/jick.mp3,bird,5,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,psychophysics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47785,02/29/2020,290,2,train2,NULL,Unf,NULL,,"<div style="font-size:60px;">+</div>",4409142,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0-290.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,html-button-response,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
